,book,author,year released
0,To Kill a Mockingbird,Harper Lee,1960
1,A Brief History of Time,Stephen Hawking,1988
2,The Great Gatsby,F. Scott Fitzgerald,1922
3,The Man Who Mistook His Wife for a Hat,Oliver Sacks,1985
4,Pride and Prejudice,Jane Austen,1813
0,1984,George Orwell,1949
1,Cien Anos de Soledad,Gabriel Garcia Marquez,1967
